pt,proyek,tahun,kegiatan,sub_kegiatan,rincian,total_hektar,satuan_rencana,satuan_target,target_biaya,target_rp_satuan,total_target_rp_ha,target_rp_ha_realisasi,realisasi_biaya,realisasi_fisik,realisasi_rp_ha,capaian_fisik,capaian_biaya
PT. Buana Karya Bhakti,Replanting BKB Inti,2026,Tanam Baru,Pembukaan Lahan,Identifikasi Blok,192.08,192.08,192.08,7160190.7874,37277.12821,96177264.24,,,,0.0,,
PT. Buana Karya Bhakti,Replanting BKB Inti,2026,Tanam Baru,Pembukaan Lahan,Tumbang Chipping,192.08,192.08,192.08,1988320284.0,10351521.68,96177264.24,10351521.68,1270275301.0,159.31,7973606.811,82.93940025,63.88685521
PT. Buana Karya Bhakti,Replanting BKB Inti,2026,Tanam Baru,Pembukaan Lahan,Pemberantasan Lalang & Gulma Lainnya,192.08,192.08,192.08,69784788.0,363311.0579,96177264.24,,,,0.0,,
PT. Buana Karya Bhakti,Replanting BKB Inti,2026,Tanam Baru,Pembukaan Lahan,Penyemprotan Pasar Rintis,192.08,140.98,140.98,76291985.0,541154.6673,96177264.24,,,,0.0,,
PT. Buana Karya Bhakti,Replanting BKB Inti,2026,Tanam Baru,Pembukaan Lahan,Pengolahan Tanah/Ripping,192.08,175.16,175.16,1157444506.411216,6607927.075,96177264.24,6607927.075,385131246.0,132.42000000000002,2908406.932,75.59945193,33.2742731
PT. Buana Karya Bhakti,Replanting BKB Inti,2026,Tanam Baru,Pembuatan Sarana & Prasarana,Pembuatan Parit Cect,192.08,140.98,140.98,2112071981.0,14981358.92,96177264.24,14981358.92,777436523.5,57.56,13506541.41,40.82848631,36.80918693
PT. Buana Karya Bhakti,Replanting BKB Inti,2026,Tanam Baru,Pembuatan Sarana & Prasarana,Kontur Teras,192.08,11.1,11.1,232085194.0,20908576.04,96177264.24,,,,0.0,,
PT. Buana Karya Bhakti,Replanting BKB Inti,2026,Tanam Baru,Pemeliharaan Awal,Tanam Kacangan - Semai Kacangan,192.08,192.08,192.08,390473256.0,2032867.847,96177264.24,2032867.847,6900048.0,23.676470588235293,291430.5988,12.32635912,1.767098743
PT. Buana Karya Bhakti,Replanting BKB Inti,2026,Tanam Baru,Pemeliharaan Awal,Tanam Kacangan,192.08,192.08,192.08,258243612.0,1344458.621,96177264.24,1344458.621,12077565.69,10.875735294117646,1110505.668,5.662086263,4.676811014
PT. Buana Karya Bhakti,Replanting BKB Inti,2026,Tanam Baru,Pemeliharaan Awal,Pemeliharaan Kacangan,192.08,1152.48,1152.48,859222936.0,745542.6003,96177264.24,745542.6003,1346400.0,5.689558823529413,236644.0073,0.4936796147,0.1566997276
PT. Buana Karya Bhakti,Replanting BKB Inti,2026,Tanam Baru,Pemeliharaan Awal,Memancang,192.08,192.08,192.08,88665196.0,461605.5602,96177264.24,461605.5602,17507050.0,56.6,309311.8375,29.4668888,19.74512073
